word,definition
eve,"The evening or day preceding a special day, such as a holiday."
ewe,"A female sheep, especially when full grown."
eye,An organ of vision or of light sensitivity.
fab,Informal   Fabrication:  building a shed of metal fab. 
fad,A fashion that is taken up with great enthusiasm for a brief period of time; a craze.
fag,A student at a British public school who is required to perform menial tasks for a student in a higher class.
fah,An anglicised spelling of fa.
fan,"A device for creating a current of air or a breeze, especially:"
far,"To, from, or at considerable distance:  a cat that had strayed far from home. "
fas,Plural form of fa.
fat,"The ester of glycerol and one, two, or three fatty acids."
fax,A fax machine.
fay,To join or fit closely or tightly.
fed,Past tense and past participle of feed.
fee,"A fixed sum charged, as by an institution or by law, for a privilege:  a license fee; tuition fees. "
feh,An expression of disgust or contempt.
fem,An effeminate or homosexual man.
fen,"Low, flat, swampy land; a bog or marsh."
fer,Eye dialect spelling of for.
fes,No definition found.
fet,To fetch.
feu,Land held in feudal tenure.
few,Amounting to or consisting of a small number:  one of my few bad habits. 
fey,Error finding definition.
fez,"A man's felt cap in the shape of a flat-topped cone, usually red with a black tassel hanging from the crown, worn chiefly in the eastern Mediterranean region."
fib,An insignificant or childish lie.
fid,Nautical   A square bar used as a support for a topmast.
fie,Used to express distaste or disapproval.
fig,"Any of several trees or shrubs of the genus Ficus, especially F. carica, native to the Mediterranean region and widely cultivated for its edible multiple fruit."
fil,"A Nordic dairy product, similar to yoghurt, but using different bacteria which give a different taste and texture."
fin,"A membranous appendage extending from the body of a fish or other aquatic animal, used for propelling, steering, or balancing the body in the water."
fir,"Any of various evergreen trees of the genus Abies, having single flattened needles and erect cones with deciduous scales."
fit,To be the proper size and shape for:  These shoes fit me. 
fix,To place securely; make stable or firm:  fixed the tent poles in the ground.  See Synonyms at fasten.
fiz,Alternative spelling of fizz.
flu,Informal   Influenza.
fly,"To engage in flight, especially:"
fob,"A small pocket at the front waistline of a man's trousers or in the front of a vest, used especially to hold a watch."
foe,A personal enemy.
fog,Condensed water vapor in cloudlike masses lying close to the ground and limiting visibility.
foh,An exclamation of abhorrence or contempt.
fon,A fool or idiot.
foo,"A metasyntactic variable used to represent an unspecified entity. If part of a series of such entities, it is often the first in the series, and followed immediately by bar."
fop,A man who is preoccupied with and often vain about his clothes and manners; a dandy.
for,"Used to indicate the object, aim, or purpose of an action or activity:  trained for the ministry; put the house up for sale; plans to run for senator. "
fou,Crazy.
fox,"Any of various carnivorous mammals of the genus Vulpes and related genera, related to the dogs and wolves and characteristically having upright ears, a pointed snout, and a long bushy tail."
foy,"Scots   A farewell feast, drink, or gift, as at a wedding."
fro,Away; back:  moving to and fro. 
fry,To cook over direct heat in hot oil or fat.
fub,A plump young person or child.
fud,Alternative capitalization of FUD
fug,Error finding definition.
fun,"A source of enjoyment, amusement, or pleasure."
fur,"The thick coat of soft hair covering the skin of a mammal, such as a fox or beaver."
gab,"To talk idly or incessantly, as about trivial matters."
gad,To move about restlessly and with little purpose. See Synonyms at wander.
gae,No definition found.
gag,Something forced into or put over the mouth to prevent speaking or crying out.
gal,Informal   A girl.
gam,"A social visit or friendly interchange, especially between whalers or seafarers."
gan,Simple past of gin.
gap,An opening in a solid structure or surface; a cleft or breach:  wriggled through a gap in the fence; a large gap in the wall where the artillery shell had exploded. 
gar,"Any of several ganoid fishes of the family Lepisosteidae of fresh and brackish waters of North and Central America, having long narrow jaws, an elongated body, and a long snout."
gas,"The state of matter distinguished from the solid and liquid states by relatively low density and viscosity, relatively great expansion and contraction with changes in pressure and temperature, the ability to diffuse readily, and the spontaneous tendency to become distributed uniformly throughout any container."
gat,A narrow passage extending inland from a shore; a channel.
gay,"Of, relating to, or having a sexual orientation to persons of the same sex."
ged,The European pike.
gee,The letter g.
gel,"A colloid in which the disperse phase has combined with the dispersion medium to produce a semisolid material, such as a jelly."
gem,A pearl or mineral that has been cut and polished for use as an ornament.
gen,gender
get,To come into possession or use of; receive:  got a cat for her birthday. 
gey,See gay.
ghi,Alternative spelling of ghee.
gib,"A plain or notched, often wedge-shaped piece of wood or metal designed to hold parts of a machine or structure in place or provide a bearing surface, usually adjusted by a screw or key."
gid,"A disease of herbivores, especially sheep, caused by the presence of the larvae of the tapeworm Multiceps multiceps in the brain and resulting in a staggering gait. Also called sturdy."
gie,Scots   Variant of give.
gif,GIF
gig,"A light, two-wheeled carriage drawn by one horse."
gin,"A strong colorless alcoholic beverage made by distilling or redistilling rye or other grain spirits and adding juniper berries or aromatics such as anise, caraway seeds, or angelica root as flavoring."
gip,Slang   Variant of gyp.
gis,Alternative spelling of jizz.
git,"Chiefly New England, Midland U.S., &amp; Southern U.S.   Variant of get."
gnu,"Either of two large African antelopes (Connochaetes gnou or C. taurinus) having a drooping mane and beard, a long tufted tail, and curved horns in both sexes. Also called wildebeest."
goa,A gazelle (Procapra picticaudata) native to Tibet and having backward-curving horns in the male.
gob,A small mass or lump.
god,"A being conceived as the perfect, omnipotent, omniscient originator and ruler of the universe, the principal object of faith and worship in monotheistic religions."
goo,Informal   A sticky wet viscous substance.
gor,An unfledged bird.
gos,A Middle English form of goose.
got,Past tense and a past participle of get.
gox,"GOX, gaseous oxygen, as differentiated from LOX (liquid oxygen)"
goy,Offensive   Used as a disparaging term for one who is not a Jew.
grr,A growl of anger or disappointment.
gul,A stylized octagonal motif in Oriental rugs.
gum,"Any of various viscous substances that are exuded by certain plants and trees and dry into water-soluble, noncrystalline, brittle solids."
gun,A weapon consisting of a metal tube from which a projectile is fired at high velocity into a relatively flat trajectory.
gut,"The alimentary canal or a portion thereof, especially the intestine or stomach."
guv,"a form of address, usually to an unknown male or a superior. An informal form of sir."
guy,"A rope, cord, or cable used to steady, guide, or secure something."
gym,Sports   A gymnasium.
gyp,To deprive (another) of something by fraud; cheat or swindle.
had,Past tense and past participle of have.
hae,Scots   To have.
hag,An old woman considered ugly or frightful.
hah,Variant of ha1.
haj,"Islam   A pilgrimage to Mecca during Dhu'l Hijja, made as an objective of the religious life of a Muslim."
ham,"The thigh of the hind leg of certain animals, especially a hog."
hao,See Table at currency.
hap,Fortune; chance.
has,Third person singular present tense of have.
hat,"A covering for the head, especially one with a shaped crown and brim."
haw,An utterance used by a speaker who is fumbling for words.
hay,"Grass or other plants, such as clover or alfalfa, cut and dried for fodder."
heh,"Weak amusement, sometimes signaling boredom."
hem,"An edge or border on a piece of cloth, especially a finished edge, as for a garment or curtain, made by folding an edge under and stitching it down."
hen,"A female bird, especially the adult female of the domestic fowl."
hep,Slang   Variant of hip2.
her,Used as a modifier before a noun:  her boots; her accomplishments. 
hes,No definition found.
het,Heterosexual.
hew,To make or shape with or as if with an ax:  hew a path through the underbrush. 
hex,An evil spell; a curse.
hey,"Used to attract attention or to express surprise, appreciation, wonder, or pleasure."
hic,"An approximation to the sound of a hiccup, used e.g. to indicate drunkenness."
hid,Past tense and a past participle of hide1.
hie,To go quickly; hasten.
him,Used as the direct object of a verb:  They saw him at the meeting. 
hin,"A unit of liquid measure used by the ancient Hebrews, equal to about five liters."
hip,The laterally projecting prominence of the pelvis or pelvic region from the waist to the thigh.
his,Used as a modifier before a noun:  his boots; his plans. 
hit,To come into contact with forcefully; strike:  The car hit the guardrail. 
hmm,Indicating thinking or pondering.
hob,"A shelf or projection at the back or side of a fireplace, used for keeping food or utensils warm."
hod,"A trough carried over the shoulder for transporting loads, as of bricks or mortar."
hoe,"A tool with a flat blade attached approximately at a right angle to a long handle, used for weeding, cultivating, and gardening."
hog,"Any of various mammals of the family Suidae, which includes the domesticated pig as well as wild species, such as the boar and the wart hog."
hom,"A Middle English form of hem, obsolete objective plural of he. See he."
hon,"Honey, sweetheart (used as a term of endearment)."
hoo,how
hop,To move with light bounding skips or leaps.
hos,Plural form of ho.
hot,Having or giving off heat; capable of burning.
how,In what manner or way; by what means:  How does this machine work? 
hoy,A small sloop-rigged coasting ship.
hub,"The center part of a wheel, fan, or propeller."
hue,"The property of colors by which they can be perceived as ranging from red through yellow, green, and blue, as determined by the dominant wavelength of the light. See Table at color."
hug,"To clasp or hold closely, especially in the arms, as in affection; embrace."
huh,"Used to express interrogation, surprise, contempt, or indifference."
hum,To emit a continuous low droning sound like that of the speech sound (m) when prolonged.
hun,Affectionate abbreviation of honey.
hup,"The first beat of a 4/4 military cadence, commanding either the lead-off step in a march or some other action."
hut,A crude or makeshift dwelling or shelter; a shack.
hyp,hypnotism; hypnotist
ice,Water frozen solid.
ich,"A contagious disease of tropical marine and freshwater fishes, caused by a protozoan (Ichthyophthirius multifiliis) and characterized by small white pustules on the skin and eyes."
ick,An exclamation of disgust
icy,Containing or covered with ice:  an icy road. 
ids,Plural form of id.
iff,if and only if
ifs,Plural form of if.
igg,To ignore or snub.
ilk,Type or kind:  can't trust people of that ilk. 
ill,Not healthy; sick:  I began to feel ill last week. 
imp,A mischievous child.
ink,A pigmented liquid or paste used especially for writing or printing.
inn,A public lodging house serving food and drink to travelers; a hotel.
ins,Plural form of in.
ion,An atom or a group of atoms that has acquired a net electric charge by gaining or losing one or more electrons.
ire,Anger; wrath. See Synonyms at anger.
irk,"To be irritating, wearisome, or vexing to. See Synonyms at annoy."
ism,Error finding definition.
its,Used as a modifier before a noun:  The airline canceled its early flight to New York. 
ivy,"Any of several woody, climbing or trailing evergreen plants of the genus Hedera native to the Old World, especially H. helix, having palmately lobed leaves, root-bearing young stems, and small green flowers grouped in umbels."
jab,To poke or thrust abruptly:  jabbed a knife into the log. 
jag,A sharp projection; a barb.
jam,To drive or wedge forcibly into a tight position:  jammed the cork in the bottle. 
jar,A cylindrical glass or earthenware vessel with a wide mouth and usually no handles.
jaw,Either of two bony or cartilaginous structures that in most vertebrates form the framework of the mouth and hold the teeth.
jay,The letter j.
jee,Variant of gee3.
jet,A dense black coal that takes a high polish and is used for jewelry.
jeu,No definition found.
jew,Offensive   To bargain shrewdly or unfairly with. Often used with down.
jib,Nautical   A triangular sail stretching from the foretopmast head to the jib boom and in small craft to the bowsprit or the bow.
jig,Any of various lively dances in triple time.
jin,Alternative spelling of djinn.
job,"A regular activity performed in exchange for payment, especially as one's trade, occupation, or profession."
joe,Informal   Brewed coffee.
jog,"To move by shoving, bumping, or jerking; jar:  a rough wagon ride that jogged the passengers. "
jot,The smallest bit; iota.
jow,"A former, pre-metric, unit of length in India, equal to approximately a quarter of an inch"
joy,Intense and especially ecstatic or exultant happiness.
jug,"A large, often rounded vessel of earthenware, glass, or metal with a small mouth, a handle, and usually a stopper or cap."
jun,"A monetary unit of North Korea and formerly of South Korea, equal to one hundredth of a won."
jus,The juices that are a by-product of roasting meat
jut,Error finding definition.
kab,Variant of cab2.
kae,See ka.
kaf,Error finding definition.
kas,No definition found.
kat,"Symbol for katal, an SI unit of measurement of catalytic activity."
kay,The letter k.
kea,A brownish-green mountain-dwelling New Zealand parrot (Nestor notabilis) that usually eats insects but sometimes feeds on carrion and rubbish.
kef,Variant of kif.
keg,A small cask or barrel with a capacity of about 30 gallons (114 liters).
ken,Perception; understanding:  complex issues well beyond our ken. 
kep,"To meet, either in a hostile or a friendly way, or accidentally."
kex,The dried stem of certain large herbaceous plants.
key,"A notched and grooved, usually metal implement that is turned to open or close a lock."
khi,Variant of chi1.
kid,A young goat.
kif,"Smoking material, such as Indian hemp, used especially in the Maghreb."
kin,One's relatives; family; kinfolk.
kip,See Table at currency.
kir,A drink consisting of dry white wine or champagne flavored with cassis.
kis,No definition found.
kit,A set of articles or implements used for a specific purpose:  a survival kit; a shaving kit. 
koa,An acacia (Acacia koa) native to Hawaii having flowers arranged in axillary racemes and small sickle-shaped leaves.
kob,"An orange-brown African antelope (Kobus kob) of Gambia east to Uganda and Ethiopia, having lyre-shaped horns in the male."
koi,"Ornamental domesticated varieties of the common carp, Cyprinus carpio, of Japan and eastern Asia with red-gold or white coloring"
kop,Hill; mountain.
kor,See homer2.
kos,an Indian unit of length having different values in different localities.
kue,An obsolete form of cue.
kye,Plural form of cow.
lab,A laboratory.
lac,A resinous secretion of the lac insect deposited on trees and used in making shellac.
lad,A young man; a youth.
lag,To fail to keep up a pace; straggle.
lah,Alternative spelling of la.
lam,To give a thorough beating to; thrash.
lap,The front area from the waist to the knees of a seated person.
lar,A household or ancestral god in ancient Rome
las,Plural form of la.
lat,A Latvian coin and national monetary unit
lav,Lavatory.
law,"A rule of conduct or procedure established by custom, agreement, or authority."
lax,"Lacking in rigor, strictness, or firmness. See Synonyms at negligent."
lay,To cause to lie down:  lay a child in its crib. 
lea,A grassland; a meadow.
led,Past tense and past participle of lead1.
lee,Nautical   The side away from the direction from which the wind blows.
leg,"A limb or an appendage of an animal, used for locomotion or support."
lei,"A garland of flowers, especially one worn around the neck."
lek,See Table at currency.
les,Short form of lesbian
let,To give permission or opportunity to; allow:  I let them borrow the car. The inheritance let us finally buy a house.  See Usage Note at leave1.
leu,See Table at currency.
lev,See Table at currency.
lex,Law.
ley,Variant of lea.
lez,Offensive Slang   Used as a disparaging term for a lesbian.
lib,Informal   A movement that seeks to achieve equal rights for a group; liberation.
lid,A removable or hinged cover for a hollow receptacle or box.
lie,"To be or place oneself at rest in a flat, horizontal, or recumbent position; recline:  He lay under a tree to sleep. "
lin,"A pool or collection of water, particularly one above or below a waterfall."
